Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,Total,Percent,Prevalence
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Oligoflexales,f__Oligoflexaceae,g__norank_f__Oligoflexaceae,s__unclassified_g__norank_f__Oligoflexaceae,OTU2759,6,8.30321e-6,35.294117647059%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Spongiibacteraceae,g__BD1-7_clade,s__metagenome_g__BD1-7_clade,OTU3202,230,0.00032,64.705882352941%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Lautropia,s__metagenome_g__Lautropia,OTU3117,272,0.00038,52.941176470588%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__eub62A3,f__norank_o__eub62A3,g__norank_o__eub62A3,s__metagenome_g__norank_o__eub62A3,OTU3075,309,0.00043,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__unclassified_o__Gammaproteobacteria_Incertae_Sedis,g__Acidibacter,s__uncultured_bacterium_g__Acidibacter,OTU3156,153,0.00021,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__MBNT15,f__norank_o__MBNT15,g__norank_o__MBNT15,s__unclassified_g__norank_o__MBNT15,OTU3241,2,2.76774e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__norank_o__SBR1031,g__norank_o__SBR1031,s__unclassified_g__norank_o__SBR1031,OTU3266,159,0.00022,58.823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__P3OB-42,g__norank_f__P3OB-42,s__uncultured_bacterium_g__norank_f__P3OB-42,OTU3190,2,2.76774e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__norank_f__Chitinophagaceae,s__unclassified_g__norank_f__Chitinophagaceae,OTU2894,82,0.00011,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Ignavibacteria,o__Kryptoniales,f__BSV26,g__norank_f__BSV26,s__uncultured_Chlorobi_bacterium_g__norank_f__BSV26,OTU2793,141,0.0002,47.058823529412%
